mechanism,seeds,accepted_fraud_rate_mean,accepted_fraud_rate_stdev,accepted_fraud_rate_ci95,accepted_volume_fraction_mean,accepted_volume_fraction_stdev,accepted_volume_fraction_ci95,audience_error_mean,audience_error_stdev,audience_error_ci95,top3_overlap_mean,top3_overlap_stdev,top3_overlap_ci95,conversion_regret_mean,conversion_regret_stdev,conversion_regret_ci95,buyer_utility_mean,buyer_utility_stdev,buyer_utility_ci95
NoVerify,30,0.6999916439332498,0.0013484713762735973,0.00048254428474425607,1.0,0.0,0.0,0.29390912031298017,0.07601493458932637,0.02720159499614445,0.36666666666666664,0.2676705242990794,0.09578466697005578,0.04819638623214704,0.030381450366324687,0.010871862387634953,9.18188925860716,5.082257854841213,1.818662616500841
TEEOnly,30,0.6509238834578566,0.001587068286163574,0.0005679250924134643,0.8598569637985697,0.0007529542473954788,0.0002694412170309817,0.2683389732163094,0.060252422768951125,0.021561052581996375,0.4222222222222222,0.2132279433164973,0.07630263957065395,0.03933943452589909,0.028655477513756498,0.010254230934506106,10.790725408618963,5.234645251862335,1.873193746188444
DepositAuditNoPoW,30,0.07879992288891233,0.0007520017243317877,0.0002691003610302104,0.9269628155029614,0.0006707836911339877,0.00024003686110923327,0.1238096081503714,0.022335911228167193,0.007992803182438725,0.4222222222222222,0.19443076032855822,0.06957615402582351,0.0306883849006441,0.02037217454855789,0.007290089036509483,13.485613852681091,3.724322757547954,1.3327317826827207
DepositAuditReject,30,0.0,0.0,0.0,0.9269628155029614,0.0006707836911339877,0.00024003686110923327,0.0992572667038173,0.02069750750589306,0.007406507940138611,0.47777777777777775,0.18944025905197848,0.06779032607916202,0.025315714212167204,0.01816965284867958,0.0065019267684764065,14.649113308179365,3.2901130713192583,1.1773518419907187
SealedHybrid,30,0.05136093750495907,0.000620652181626862,0.00022209753082465947,0.9512261299122613,0.0005433517953921845,0.0001944359428648576,0.09854066970090597,0.01933661236072672,0.006919517866792788,0.47777777777777775,0.22630351797478757,0.08098167386987709,0.025862378272359463,0.018681509945505756,0.006685092478201598,14.55644655336805,3.3307991783743587,1.191911178416669
DirectAttest,30,0.0,0.0,0.0,1.0,0.0,0.0,0.0728986888692384,0.01755234020678349,0.0062810242765966705,0.5,0.2099078433074675,0.07511455704081638,0.02612386545886718,0.017844529424420937,0.00638558284529575,14.71451470645,3.180655276199258,1.1381828730491432
RejectMismatch,30,0.0,0.0,0.0,0.2998626164319595,0.0013715932590814054,0.0004908183442443299,0.7012630099799606,0.0178614635134644,0.006391642631234889,0.5222222222222221,0.2426440139315354,0.08682904525094783,0.023190302413663995,0.019040932802233627,0.006813710295659295,10.215641485700797,3.432094204955496,1.2281591381507642
