mechanism,seeds,accepted_fraud_rate_mean,accepted_fraud_rate_stdev,accepted_fraud_rate_ci95,accepted_volume_fraction_mean,accepted_volume_fraction_stdev,accepted_volume_fraction_ci95,audience_error_mean,audience_error_stdev,audience_error_ci95,top3_overlap_mean,top3_overlap_stdev,top3_overlap_ci95,conversion_regret_mean,conversion_regret_stdev,conversion_regret_ci95,buyer_utility_mean,buyer_utility_stdev,buyer_utility_ci95
NoVerify,30,0.6999717374581899,0.0006491712147215732,0.00023230293575087648,1.0,0.0,0.0,0.20793726597008969,0.07024891882394338,0.025138252753745743,0.5222222222222221,0.25795145424255567,0.09230674241687416,0.054199717321146264,0.03810822231974882,0.013636852220752874,7.746727775134706,6.53851438385366,2.339777322797646
TEEOnly,30,0.6510756148205631,0.0007764860757982231,0.0002778619736781906,0.8598717372124286,0.0004234514653366178,0.00015153016078800857,0.23008722619674513,0.05774776551588087,0.02066477249479705,0.5111111111111111,0.19044882124112195,0.06815123542343392,0.055535511278381244,0.027378078649387162,0.009797119621514349,6.8957889062194,4.881172007737129,1.746704970257599
DepositAuditNoPoW,30,0.07866879594296737,0.0004327942723049141,0.0001548734413242841,0.9269387489278667,0.00037986981771936826,0.00013593466847911212,0.11048290758985964,0.02197499247446571,0.007863650065123809,0.5777777777777777,0.19443076032855822,0.06957615402582351,0.03430105337226508,0.028401502220356898,0.010163347042973388,12.107711248714576,5.485178049245795,1.962845756342682
DepositAuditReject,30,0.0,0.0,0.0,0.9269387489278667,0.00037986981771936826,0.00013593466847911212,0.09464954434995335,0.015148100028423176,0.005420677978089187,0.6777777777777777,0.1379469977991112,0.049363699190663295,0.02159279701708793,0.01986196910079179,0.007107514361809853,14.734945153082881,3.988049648065697,1.4271052384281324
SealedHybrid,30,0.05154475522671655,0.00038601716890993617,0.00013813446985088592,0.9510071295333732,0.000353035892667527,0.00012633227172167844,0.08184985524522163,0.022046183543953036,0.007889125462162546,0.6222222222222222,0.16913875446830828,0.06052552596480517,0.02579846892865649,0.024523093695764917,0.008775476376695675,14.092754503233307,4.73672744074471,1.6950161457924007
DirectAttest,30,0.0,0.0,0.0,1.0,0.0,0.0,0.04851072435637744,0.01404958602602646,0.005027579790841849,0.6444444444444444,0.19443076032855822,0.06957615402582351,0.02329838173396463,0.025852098180685814,0.009251054523834592,14.977344722803435,4.775847763331258,1.7090151734422545
RejectMismatch,30,0.0,0.0,0.0,0.30019796067328747,0.0007547119791072029,0.0002700702132459033,0.6959831705244781,0.018400306495347345,0.006584465115906904,0.5888888888888889,0.2263035179747876,0.08098167386987709,0.03911607353112037,0.031316336245090524,0.011206407002837105,6.007638298911572,4.989207346557327,1.7853649197495625
